Mnemonic,Format,Width,Binary,Shamt,Start,End
B,B,6,101,XXXX,OAO,OBF
FADDS,R,11,11110001,1010,OF1,
FCMPS,R,11,11110001,1000,OF1,
FDIVS,R,11,11110001,110,OF1,
FMULS,R,11,11110001,10,OF1,
FSUBS,R,11,11110001,1110,OF1,
FADDD,R,11,11110011,1010,OF3,
FCMPD,R,11,11110011,1000,OF3,
FDIVD,R,11,11110011,110,OF3,
FMULD,R,11,11110011,10,OF3,
FSUBD,R,11,11110011,1110,OF3,
STURB,D,11,111000000,,ICO,
LDURB,D,11,111000010,,IC2,
B.EQ,CB,8,1010100,0,,
B.GE,CB,8,1010100,1010,,
B.GT,CB,8,1010100,1100,,
B.LE,CB,8,1010100,1101,,
B.LT,CB,8,1010100,1011,,
B.NE,CB,8,1010100,1,,
STURH,D,11,1111000000,,3CO,
LDURH,D,11,1111000010,,3C2,
AND,R,11,10001010000,,45O,
ADD,R,11,10001011000,,458,
ADDI,I,10,1001000100,X,488,489
ANDI,I,10,1001001000,X,49O,491
BL,B,6,100101,XXXX,4AO,4BF
SDIV,R,11,10011010110,10,4D6,
UDIV,R,11,10011010110,11,4D6,
MUL,R,11,10011011000,11111,4D8,
SMULH,R,11,10011011010,,4DA,
UMULH,R,11,10011011110,,4DE,
ORR,R,11,10101010000,,55O,
ADDS,R,11,10101011000,,558,
ADDIS,I,10,1011000100,X,588,589
ORRI,I,10,1011001000,X,59O,591
CBZ,CB,8,10110100,XXX,SAO,5A7
CBNZ,CB,8,10110101,XXX,5A8,5AF
STURW,D,11,10111000000,,5CO,
LDURSW,D,11,10111000100,,5C4,
STURS,R,11,10111100000,,5EO,
LDURS,R,11,10111100010,,5E2,
STXR,D,11,11001000000,,64O,
LDXR,D,11,11001000010,,642,
EOR,R,11,11001010000,,65O,
SUB,R,11,11001011000,,658,
SUBI,I,10,1101000100,X,688,689
EORI,I,10,1101001000,X,69O,691
MOVE,IM,9,110100101,XX,694,697
MOVZ,IM,9,110100101,XX,694,697
LSR,R,11,11010011010,,69A,
LSL,R,11,11010011011,,69B,
BR,R,11,11010110000,,6BO,
ANDS,R,11,11101010000,,75O,
SUBS,R,11,11101011000,,758,
SUBIS,I,10,1111000100,X,788,789
ANDIS,I,10,1111001000,X,79O,791
MOVK,IM,9,111100101,XX,794,797
STUR,D,11,11111000000,,7CO,
LDUR,D,11,11111000010,,7C2,
STURD,R,11,11111100000,,7EO,
LDURD,R,11,11111100010,,7E2,
